idx psi rho log_likelihood
0 1.71 0.7775 -3882.949
1 2.03 0.8075 -357304.44
2 4.4 0.8225 -512990.53
3 1.6 0.8225 -512990.53
4 1.71 0.7775 -3882.949
5 2.03 0.8075 -357304.44
6 4.4 0.8225 -512990.53
7 1.6 0.8225 -512990.53
8 1.71 0.7775 -3882.949
9 2.03 0.8075 -357304.44
10 4.4 0.8225 -512990.53
11 1.6 0.8225 -512990.53
12 1.71 0.7775 -3882.949
13 2.03 0.8075 -357304.44
14 4.4 0.8225 -512990.53
15 1.6 0.8225 -512990.53
16 1.71 0.7775 -3882.949
17 2.03 0.8075 -357304.44
18 4.4 0.8225 -512990.53
19 1.6 0.8225 -512990.53
20 1.71 0.7775 -3882.949
21 2.03 0.8075 -357304.44
22 4.4 0.8225 -512990.53
23 1.6 0.8225 -512990.53
24 1.71 0.7775 -3882.949
25 2.03 0.8075 -357304.44
26 4.4 0.8225 -512990.53
27 1.6 0.8225 -512990.53
28 1.71 0.7775 -3882.949
29 2.03 0.8075 -357304.44
30 4.4 0.8225 -512990.53
31 1.6 0.8225 -512990.53
32 1.71 0.7775 -3882.949
33 2.03 0.8075 -357304.44
34 4.4 0.8225 -512990.53
35 1.6 0.8225 -512990.53
36 1.71 0.7775 -3882.949
37 2.03 0.8075 -357304.44
38 4.4 0.8225 -512990.53
39 1.6 0.8225 -512990.53
40 1.71 0.7775 -3882.949
41 2.03 0.8075 -357304.44
42 4.4 0.8225 -512990.53
43 1.6 0.8225 -512990.53
44 1.71 0.7775 -3882.949
45 2.03 0.8075 -357304.44
46 4.4 0.8225 -512990.53
47 1.6 0.8225 -512990.53
48 1.71 0.7775 -3882.949
49 2.03 0.8075 -357304.44
50 4.4 0.8225 -512990.53
51 1.6 0.8225 -512990.53
52 1.71 0.7775 -3882.949
53 2.03 0.8075 -357304.44
54 4.4 0.8225 -512990.53
55 1.6 0.8225 -512990.53
56 1.71 0.7775 -3882.949
57 2.03 0.8075 -357304.44
58 4.4 0.8225 -512990.53
59 1.6 0.8225 -512990.53
60 1.71 0.7775 -3882.949
61 2.03 0.8075 -357304.44
62 4.4 0.8225 -512990.53
63 1.6 0.8225 -512990.53
64 1.71 0.7775 -3882.949
65 2.03 0.8075 -357304.44
66 4.4 0.8225 -512990.53
67 1.6 0.8225 -512990.53
68 1.71 0.7775 -3882.949
69 2.03 0.8075 -357304.44
70 4.4 0.8225 -512990.53
71 1.6 0.8225 -512990.53
72 1.71 0.7775 -3882.949
73 2.03 0.8075 -357304.44
74 4.4 0.8225 -512990.53
75 1.6 0.8225 -512990.53
76 1.71 0.7775 -3882.949
77 2.03 0.8075 -357304.44
78 4.4 0.8225 -512990.53
79 1.6 0.8225 -512990.53
80 1.71 0.7775 -3882.949
81 2.03 0.8075 -357304.44
82 4.4 0.8225 -512990.53
83 1.6 0.8225 -512990.53
84 1.71 0.7775 -3882.949
